Status of existing checking account,Duration,Credit history,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate,personal status,Other debtors,Present residence since,Property,Age,Other installment plans,Housing,Number of existing credits,Job,Number of people,Telephone,foreign worker
A11,24.0,A32,A43,2910.0,A61,A73,2.0,A93,A101,1.0,A124,34.0,A143,A153,1.0,A174,1.0,A192,A201
A11,60.0,A33,A43,7418.0,A61,A73,1.0,A93,A101,1.0,A121,27.0,A143,A152,1.0,A172,1.0,A192,A201
A14,48.0,A32,A49,10222.0,A65,A74,4.0,A93,A101,3.0,A122,37.0,A142,A152,1.0,A173,1.0,A191,A201
A12,6.0,A32,missing,454.0,A61,missing,3.0,A93,A101,1.0,A122,22.0,A143,A152,1.0,A172,1.0,missing,A201
A14,24.0,A32,A43,4591.0,A61,A73,2.0,A93,A101,3.0,A121,54.0,A143,A151,3.0,A172,1.0,A192,A201
A14,48.0,A32,A43,3578.0,A61,A73,4.0,A92,A101,1.0,A121,47.0,A143,A152,1.0,A173,1.0,A192,A201
A12,60.0,A33,A43,9157.0,A65,A73,2.0,A93,A101,2.0,A124,27.0,A143,A153,1.0,A174,1.0,A191,A201
A14,24.0,A34,A43,4526.0,A62,A73,3.0,A93,A101,2.0,A121,74.0,A143,A152,1.0,A174,1.0,A192,A201
A12,36.0,A33,A49,9572.0,A65,A74,1.0,A92,A103,1.0,A123,28.0,A143,A151,2.0,A171,1.0,A191,A201
A13,36.0,A32,A43,3804.0,A61,A73,4.0,A93,A101,1.0,A121,42.0,A141,A151,1.0,A171,1.0,A192,A201
A12,12.0,A34,A40,691.0,A64,A75,4.0,A91,A101,3.0,A122,35.0,A143,A152,2.0,A173,1.0,A191,A201
A14,21.0,A32,A41,2476.0,A62,A73,4.0,A93,A101,4.0,A121,46.0,A143,A152,1.0,A174,1.0,A192,A201
A12,9.0,A32,A43,790.0,A62,A73,4.0,A92,A101,3.0,A121,66.0,A143,A152,1.0,A172,1.0,A191,A201
A14,60.0,A32,A43,6527.0,A64,A73,4.0,A91,A101,4.0,A124,34.0,A143,A153,1.0,A173,2.0,A192,A201
A12,15.0,A34,A40,1264.0,A62,A75,2.0,A91,A101,2.0,A122,25.0,A143,A152,1.0,A171,1.0,A191,A201
A14,36.0,missing,missing,7127.0,missing,missing,2.0,A91,missing,4.0,A122,23.0,A143,A151,2.0,A173,1.0,missing,A201
A14,24.0,missing,missing,2028.0,missing,missing,2.0,A92,A101,2.0,A122,30.0,A143,A152,2.0,A172,1.0,missing,A201
A14,11.0,A34,A40,1393.0,A61,A75,4.0,A92,A101,4.0,A124,35.0,A143,A152,2.0,A174,1.0,A191,A201
A12,9.0,A32,A40,3195.0,A64,A75,1.0,A93,A101,2.0,A121,33.0,A143,A152,1.0,A172,1.0,A191,A201
A11,12.0,A32,missing,339.0,A61,A73,4.0,A93,missing,1.0,missing,45.0,A141,A152,1.0,A172,1.0,missing,missing
A14,24.0,A34,A49,4042.0,A65,A74,3.0,A93,A101,4.0,A122,43.0,A143,A152,2.0,A171,1.0,A191,A201
A14,12.0,A32,A43,763.0,A61,A73,4.0,A92,A101,1.0,A121,26.0,A143,A152,1.0,A173,1.0,A192,A201
A14,24.0,A34,A43,2424.0,A64,A73,4.0,A93,A101,4.0,A122,53.0,A143,A151,2.0,A173,1.0,A191,A202
A14,36.0,A32,A41,4686.0,A61,A73,2.0,A93,A101,2.0,A124,32.0,A143,A153,1.0,A174,1.0,A192,A201
A14,11.0,A34,A40,7228.0,A61,A73,1.0,A91,A101,4.0,A122,39.0,A143,A152,2.0,A172,1.0,A191,A201
A14,24.0,A32,A40,7393.0,A61,A73,1.0,A93,A101,4.0,A122,43.0,A143,A152,1.0,A172,2.0,A191,A201
A14,12.0,A32,A40,3527.0,A61,A73,2.0,A93,A101,3.0,A122,45.0,A143,A152,1.0,A174,2.0,A191,A201
A11,6.0,A34,A40,609.0,A61,A75,4.0,A92,A101,3.0,A122,37.0,A143,A152,2.0,A173,1.0,A191,A202
A13,24.0,A34,A41,4113.0,A62,A71,3.0,A92,A101,4.0,A122,28.0,A141,A151,1.0,A173,1.0,A191,A201
A12,12.0,A34,A41,3573.0,A61,A71,1.0,A92,A101,1.0,A121,23.0,A143,A152,1.0,A172,1.0,A191,A201
A14,15.0,missing,missing,1520.0,missing,missing,4.0,A93,A101,4.0,A122,63.0,A143,A152,1.0,A173,1.0,missing,A201
A11,24.0,A34,A43,3148.0,A62,A73,3.0,A92,A101,2.0,A122,31.0,A143,A152,2.0,A172,1.0,A192,A201
A14,36.0,A34,A43,3595.0,A65,A73,4.0,A93,A103,2.0,A123,28.0,A142,A152,1.0,A173,1.0,A191,A201
A14,36.0,missing,missing,2613.0,missing,missing,4.0,A92,A101,2.0,missing,27.0,A143,A151,2.0,A173,1.0,missing,missing
A14,6.0,missing,missing,426.0,missing,missing,4.0,A93,missing,4.0,A121,39.0,A143,A152,1.0,A172,1.0,missing,A201
A11,12.0,A32,A40,1893.0,A61,A75,4.0,A91,A103,4.0,A122,29.0,A143,A152,1.0,A173,1.0,A191,A201
A14,24.0,A33,A40,1287.0,A61,A75,4.0,A92,A101,4.0,A121,37.0,A143,A152,2.0,A173,1.0,A191,A201
A14,36.0,A32,A49,2145.0,A65,A74,2.0,A92,A101,1.0,A121,24.0,A142,A153,2.0,A173,1.0,A191,A201
A11,18.0,A33,missing,2473.0,missing,missing,4.0,A91,missing,1.0,missing,25.0,A143,A153,1.0,A171,1.0,missing,A201
A14,24.0,A33,A43,3149.0,A61,A75,4.0,A92,A101,1.0,A124,22.0,A141,A153,1.0,A171,1.0,A191,A201
A13,18.0,A32,A43,2100.0,A61,A73,4.0,A92,A101,2.0,A122,37.0,A142,A152,1.0,A173,1.0,A192,A201
A12,30.0,A32,A43,1715.0,A65,A73,4.0,A92,A101,1.0,A123,26.0,A143,A152,1.0,A173,1.0,A191,A201
A12,60.0,missing,missing,14782.0,A62,missing,3.0,A92,A101,4.0,A124,60.0,A141,A153,2.0,A174,1.0,missing,A201
A14,24.0,A33,A41,4679.0,A62,A74,3.0,A91,A101,3.0,A123,35.0,A143,A152,2.0,A172,1.0,A191,A201
A12,15.0,A32,A43,3568.0,A61,A73,4.0,A93,A101,2.0,A121,54.0,A141,A153,1.0,A172,1.0,A192,A201
A12,20.0,A34,A43,2235.0,A64,A71,4.0,A92,A103,2.0,A122,33.0,A141,A151,2.0,A173,1.0,A191,A201
A12,27.0,A32,A41,2528.0,A61,A73,4.0,A92,A101,1.0,A122,32.0,A143,A152,1.0,A173,2.0,A192,A201
A14,21.0,A33,A41,2993.0,A61,A73,3.0,A93,A101,2.0,A121,28.0,A142,A152,2.0,A172,1.0,A191,A201
A12,45.0,A34,A43,3031.0,A62,A71,4.0,A93,A103,4.0,A122,21.0,A143,A151,1.0,A173,1.0,A191,A201
A14,36.0,A33,missing,10875.0,A61,A73,2.0,A92,A101,2.0,missing,45.0,A143,A152,2.0,A173,2.0,missing,A201
A14,10.0,A33,missing,2210.0,A62,missing,2.0,A91,missing,2.0,A121,25.0,A142,A151,1.0,A173,1.0,missing,A201
A12,24.0,A34,A43,1216.0,A62,A71,4.0,A93,A101,4.0,A124,38.0,A141,A152,2.0,A173,2.0,A191,A201
A11,11.0,A34,A40,3939.0,A61,A73,1.0,A93,A101,2.0,A121,40.0,A143,A152,2.0,A172,2.0,A191,A201
A14,24.0,A33,A49,2375.0,A65,A73,4.0,A93,A101,2.0,A123,44.0,A143,A152,2.0,A173,2.0,A191,A201
A14,24.0,A32,missing,937.0,A61,missing,4.0,missing,A101,3.0,missing,27.0,A143,A152,2.0,A172,1.0,missing,A201
A14,42.0,A32,A43,7166.0,A65,A74,2.0,A91,A101,4.0,A122,29.0,A143,A151,1.0,A173,1.0,A191,A201
A14,15.0,A33,missing,1262.0,missing,A73,4.0,A93,A101,3.0,A122,36.0,A143,A153,2.0,A173,1.0,missing,A201
A14,15.0,A34,A41,3594.0,A62,A71,1.0,A92,A101,2.0,A122,46.0,A143,A152,2.0,A172,1.0,A191,A201
A13,36.0,A32,A43,5848.0,A61,A73,4.0,A93,A101,1.0,A123,24.0,A143,A152,1.0,A173,1.0,A191,A201
A12,18.0,A34,A43,1795.0,A61,A75,3.0,A92,A103,4.0,A121,48.0,A141,A151,2.0,A172,1.0,A191,A201
A11,36.0,A32,A42,3959.0,A61,A71,4.0,A93,A101,3.0,A122,30.0,A143,A152,1.0,A174,1.0,A192,A201
A13,24.0,A33,A41,1285.0,A64,A74,4.0,A93,A101,4.0,A124,32.0,A142,A151,1.0,A173,1.0,A191,A202
A13,15.0,A32,missing,392.0,A62,missing,4.0,A92,A101,4.0,A122,23.0,A143,A151,1.0,A171,1.0,missing,missing
A12,48.0,A34,A43,10961.0,A61,A73,1.0,A93,A101,2.0,A124,27.0,A141,A153,2.0,A173,1.0,A192,A201
A14,9.0,A32,A43,2753.0,A61,missing,3.0,A92,missing,4.0,A121,35.0,A143,A152,1.0,A173,1.0,missing,missing
A12,9.0,missing,missing,1919.0,A61,missing,4.0,A93,A101,3.0,missing,35.0,A143,A151,1.0,A173,1.0,missing,A201
A12,12.0,A33,A49,2028.0,A65,A73,4.0,A93,A101,2.0,A123,30.0,A143,A152,1.0,A174,1.0,A191,A201
A12,18.0,A33,A40,1042.0,A62,A73,4.0,A91,A101,2.0,A121,33.0,A142,A152,1.0,A173,1.0,A191,A201
A11,6.0,A32,A43,428.0,A61,A73,2.0,A92,A101,1.0,A122,49.0,A143,A151,1.0,A173,1.0,A192,A201
A11,9.0,A33,A43,2799.0,A61,A73,2.0,A93,A101,2.0,A121,36.0,A143,A151,2.0,A172,2.0,A192,A201
A12,39.0,A34,A43,4933.0,A61,A74,2.0,A93,A103,2.0,A121,25.0,A143,A152,2.0,A173,1.0,A191,A201
A14,60.0,A32,A40,10366.0,A61,A75,2.0,A93,A101,4.0,A122,42.0,A143,A152,1.0,A174,1.0,A191,A201
A12,12.0,A34,missing,2366.0,missing,missing,3.0,A91,A101,3.0,missing,36.0,A143,A152,1.0,A174,1.0,missing,A201
A14,18.0,A32,A41,3378.0,A62,A73,2.0,A91,A101,1.0,A121,31.0,A142,A153,1.0,A173,1.0,A192,A201
A14,10.0,A33,A43,1924.0,A61,A73,1.0,A93,A101,4.0,A122,38.0,A143,A153,1.0,A173,1.0,A192,A201
A14,14.0,A33,A40,802.0,A61,A73,4.0,A93,A101,2.0,A124,27.0,A143,A153,2.0,A172,1.0,A191,A202
A12,48.0,A33,A40,8358.0,A61,A75,1.0,A92,A101,1.0,A124,30.0,A143,A151,2.0,A173,1.0,A191,A201
A12,12.0,A34,A49,1424.0,A61,A74,4.0,A93,A101,3.0,A122,26.0,A143,A152,1.0,A173,1.0,A191,A201
A12,30.0,A33,A49,4221.0,A61,A73,2.0,A92,A101,1.0,A123,28.0,A143,A152,2.0,A173,1.0,A191,A201
A12,24.0,A32,A49,1559.0,A62,A74,4.0,A91,A101,4.0,A123,50.0,A141,A152,1.0,A173,1.0,A191,A201
A14,12.0,A34,A43,2214.0,A61,A73,4.0,A91,A101,3.0,A121,24.0,A143,A152,1.0,A172,1.0,A191,A201
A14,12.0,A32,A41,3059.0,A64,A74,2.0,A92,A101,4.0,A121,61.0,A143,A152,1.0,A172,1.0,A191,A201
A14,12.0,missing,missing,930.0,missing,missing,4.0,A92,A101,4.0,A121,65.0,A143,A152,4.0,A174,1.0,missing,A201
A14,48.0,A33,A41,6110.0,A61,A73,1.0,A91,A101,3.0,A124,31.0,A141,A151,1.0,A173,1.0,A192,A201
A14,12.0,A33,A40,2759.0,A61,A75,2.0,A93,A101,4.0,A122,34.0,A143,A152,2.0,A173,1.0,A191,A201
A12,12.0,A32,A41,1922.0,A61,A73,4.0,A93,A101,2.0,A122,37.0,A143,A152,1.0,A172,1.0,A191,A201
A14,24.0,A32,A41,4151.0,A62,A73,2.0,A92,A101,3.0,A122,35.0,A143,A152,2.0,A174,1.0,A191,A201
A11,10.0,A33,missing,1038.0,A61,missing,4.0,missing,missing,3.0,missing,49.0,A143,A152,2.0,A173,1.0,missing,A201
A14,15.0,missing,missing,2511.0,A62,missing,1.0,missing,A101,4.0,missing,23.0,A143,A151,1.0,A173,1.0,missing,missing
A14,30.0,A33,A49,5954.0,A61,A74,3.0,A92,A103,2.0,A123,38.0,A141,A152,1.0,A173,1.0,A191,A201
A11,12.0,A32,A49,1858.0,A61,A74,4.0,A92,A101,1.0,A123,22.0,A143,A151,1.0,A173,1.0,A191,A201
A12,8.0,A32,A43,760.0,A61,A74,4.0,A92,A103,2.0,A121,44.0,A143,A152,1.0,A172,1.0,A191,A201
A14,15.0,A32,A41,1829.0,A64,missing,4.0,A92,missing,4.0,missing,46.0,A143,A152,2.0,A173,1.0,missing,A201
A14,18.0,missing,A43,5302.0,A64,missing,2.0,A93,A101,4.0,A124,36.0,A143,A151,3.0,A174,1.0,missing,A201
A11,12.0,A32,A41,741.0,A62,A71,4.0,A92,A101,3.0,A122,22.0,A143,A152,1.0,A173,1.0,A191,A201
A14,10.0,A34,A40,1287.0,A64,A75,4.0,A91,A103,2.0,A122,45.0,A143,A152,1.0,A172,1.0,A191,A202
A11,24.0,missing,missing,1381.0,A61,missing,4.0,missing,A101,2.0,missing,35.0,A141,A153,1.0,A174,1.0,missing,missing
A14,6.0,A32,A43,1346.0,A64,A73,2.0,A93,A101,4.0,A124,42.0,A141,A153,1.0,A173,2.0,A192,A201
A13,48.0,A34,missing,6224.0,A61,A73,4.0,A91,missing,4.0,A124,50.0,A143,A153,1.0,A173,1.0,missing,missing
A14,18.0,A34,A41,750.0,A64,A71,4.0,A92,A103,1.0,A121,27.0,A143,A151,1.0,A171,1.0,A191,A201
A14,28.0,A32,missing,7824.0,missing,missing,3.0,A91,missing,4.0,A121,40.0,A141,A153,2.0,A173,2.0,missing,A201
A14,12.0,A33,A43,996.0,A65,A74,4.0,A92,A101,4.0,A121,23.0,A143,A152,2.0,A171,1.0,A191,A202
A12,24.0,A34,A49,2825.0,A65,A74,4.0,A93,A101,3.0,A124,34.0,A143,A152,2.0,A173,2.0,A191,A201
A14,10.0,A32,A40,1418.0,A62,A73,3.0,A93,A101,2.0,A121,35.0,A143,A151,1.0,A172,1.0,A191,A202
A14,12.0,A32,missing,682.0,A61,missing,4.0,missing,A101,3.0,missing,51.0,A143,A151,2.0,A173,1.0,missing,A201
A11,6.0,A34,A40,860.0,A61,A75,1.0,A92,A101,4.0,A124,39.0,A143,A152,2.0,A173,1.0,A191,A201
A12,9.0,A33,A41,1337.0,A61,A73,4.0,A93,A101,2.0,A121,34.0,A143,A153,2.0,A172,1.0,A192,A201
A14,9.0,A33,A43,1670.0,A61,A73,4.0,A93,A101,2.0,A121,22.0,A143,A151,1.0,A171,1.0,A192,A201
A14,30.0,missing,missing,4280.0,missing,missing,4.0,A92,missing,4.0,A124,26.0,A143,A151,2.0,A171,1.0,missing,A201
A12,18.0,missing,missing,6361.0,A61,missing,2.0,A91,A101,1.0,A124,41.0,A141,A152,1.0,A173,1.0,missing,A201
A14,6.0,A33,A49,1743.0,A62,A73,1.0,A93,A101,2.0,A121,34.0,A141,A152,2.0,A172,1.0,A191,A201
A12,12.0,A32,A40,754.0,A64,A75,4.0,A93,A101,4.0,A122,38.0,A143,A152,2.0,A173,1.0,A191,A201
A11,8.0,A34,A40,3398.0,A61,A75,1.0,A93,A101,4.0,A121,39.0,A143,A152,2.0,A172,1.0,A191,A202
missing,9.0,missing,missing,5129.0,missing,missing,2.0,missing,A101,4.0,A124,74.0,A141,missing,1.0,missing,2.0,missing,missing
A13,10.0,A34,A40,781.0,A61,A75,4.0,A91,A101,4.0,A124,63.0,A143,A153,2.0,A173,1.0,A191,A201
A11,18.0,missing,missing,1442.0,A62,missing,4.0,A92,missing,4.0,A124,32.0,A142,A151,2.0,A174,2.0,missing,missing
A14,18.0,A32,A43,2051.0,A61,A71,4.0,A92,A101,1.0,A121,33.0,A143,A152,1.0,A173,1.0,A191,A201
A11,18.0,A33,A41,2462.0,A64,A73,2.0,A91,A101,2.0,A123,22.0,A143,A152,1.0,A173,1.0,A191,A202
A14,28.0,missing,missing,4006.0,A61,missing,3.0,A92,A101,2.0,missing,45.0,A143,A152,1.0,A172,1.0,missing,A201
A12,12.0,A32,A41,951.0,A62,A71,4.0,A92,A101,4.0,A123,27.0,A141,A151,4.0,A173,1.0,A191,A201
A12,15.0,A32,A40,1300.0,A62,A75,4.0,A92,A103,4.0,A124,45.0,A141,A153,1.0,A173,2.0,A191,A201
A14,24.0,A32,A43,1901.0,A62,A73,4.0,A93,A101,4.0,A123,29.0,A143,A151,1.0,A174,1.0,A191,A201
A13,42.0,A33,A41,4796.0,A61,A71,4.0,A93,A101,4.0,A124,56.0,A143,A153,1.0,A171,1.0,A191,A201
A14,18.0,A32,A43,1473.0,A61,A73,3.0,A92,A101,4.0,A121,39.0,A142,A152,1.0,A172,1.0,A192,A201
A14,12.0,A32,missing,1768.0,A61,A73,3.0,missing,A101,2.0,A121,24.0,A142,A151,1.0,A172,1.0,missing,A201
A14,24.0,A34,missing,3777.0,A64,A73,4.0,A93,A101,4.0,A121,50.0,A143,A152,1.0,A173,1.0,missing,A201
A14,27.0,A32,A49,5117.0,A61,A74,3.0,A93,A101,4.0,A123,26.0,A143,A152,2.0,A173,1.0,A191,A201
A11,42.0,A34,A43,3394.0,A61,A71,4.0,A91,A103,4.0,A122,65.0,A143,A152,2.0,A171,1.0,A191,A201
A14,12.0,A34,A43,717.0,A64,A75,4.0,A91,A101,4.0,A121,52.0,A143,A152,3.0,A173,1.0,A191,A201
A14,36.0,A34,A41,5842.0,A61,A75,2.0,A93,A101,2.0,A122,35.0,A143,A152,2.0,A173,2.0,A191,A201
A14,9.0,A34,A40,1224.0,A61,A73,3.0,A93,A101,1.0,A121,30.0,A143,A152,2.0,A173,1.0,A191,A201
A12,12.0,A33,A40,1155.0,A61,A75,3.0,A91,A103,3.0,A121,40.0,A141,A152,2.0,A172,1.0,A191,A201
A11,21.0,A32,A49,3763.0,A65,A74,2.0,A93,A103,2.0,A121,24.0,A143,A152,1.0,A172,1.0,A191,A202
A11,12.0,A33,A40,1082.0,A61,A73,4.0,A93,A101,4.0,A124,48.0,A141,A152,2.0,A173,1.0,A191,A201
A13,48.0,A32,A43,15672.0,A62,A73,2.0,A92,A101,2.0,A121,23.0,A143,A153,1.0,A174,1.0,A192,A201
A11,12.0,A34,A40,3499.0,A61,A73,3.0,A92,A103,2.0,A121,29.0,A143,A152,2.0,A173,1.0,A191,A201
A14,60.0,A34,A43,15653.0,A61,A73,2.0,A93,A101,4.0,A121,21.0,A143,A151,2.0,A173,1.0,A192,A201
A13,24.0,A34,A49,8648.0,A62,A74,2.0,A91,A101,2.0,A123,27.0,A143,A152,2.0,A171,1.0,A191,A201
A12,20.0,A32,A41,6468.0,A62,A71,1.0,A91,A101,4.0,A121,60.0,A143,A152,1.0,A174,1.0,A191,A201
A11,24.0,A34,A41,2812.0,A64,A71,2.0,A93,A101,4.0,A121,26.0,A143,A152,1.0,A173,1.0,A191,A202
A12,36.0,A33,missing,3990.0,missing,missing,3.0,missing,A101,2.0,A122,29.0,A143,A152,1.0,A171,1.0,missing,A201
A14,11.0,A32,missing,2142.0,A64,missing,1.0,A92,A101,2.0,A121,28.0,A143,A152,1.0,A174,1.0,missing,A201
A14,10.0,A32,missing,1364.0,A61,missing,2.0,A92,A101,4.0,missing,64.0,A143,A153,1.0,A173,1.0,missing,A201
A12,15.0,A34,missing,1308.0,A61,missing,4.0,missing,A101,4.0,missing,38.0,A143,A152,2.0,A172,1.0,missing,missing
A12,48.0,A32,missing,18424.0,A64,missing,1.0,missing,missing,2.0,A122,32.0,A141,A152,1.0,A173,1.0,missing,missing
A12,12.0,A32,A49,841.0,A64,A73,2.0,A92,A101,4.0,A121,23.0,A143,A151,1.0,A173,1.0,A191,A201
A12,6.0,A32,A43,590.0,A61,A71,3.0,A92,A101,3.0,A121,26.0,A143,A152,1.0,A172,1.0,A191,A202
A13,24.0,A32,missing,3345.0,A61,missing,4.0,A91,A101,2.0,A122,39.0,A142,A151,1.0,A174,1.0,missing,A201
A11,18.0,A32,A43,2600.0,A61,A73,4.0,A93,A101,4.0,A124,65.0,A143,A153,2.0,A173,1.0,A191,A201
A11,12.0,A32,missing,3590.0,A64,A73,2.0,missing,missing,2.0,A124,29.0,A143,A152,1.0,A172,2.0,missing,A201
A14,15.0,missing,missing,5045.0,missing,missing,1.0,A91,A101,4.0,missing,59.0,A143,A152,1.0,A173,1.0,missing,A201
A14,18.0,A33,A43,1126.0,A64,A73,4.0,A92,A101,2.0,A121,21.0,A143,A151,1.0,A173,1.0,A192,A201
A11,24.0,missing,missing,1193.0,A61,missing,1.0,A92,missing,4.0,A124,29.0,A143,A151,2.0,A171,1.0,missing,A201
A14,39.0,A33,missing,8588.0,A62,missing,4.0,A92,A101,2.0,missing,45.0,A143,A152,1.0,A174,1.0,missing,A201
A14,24.0,A32,missing,1533.0,A61,missing,4.0,A93,A101,3.0,missing,38.0,A142,A152,1.0,A174,1.0,missing,A201
A14,18.0,A34,A43,1345.0,A64,A73,4.0,A93,A101,3.0,A122,26.0,A141,A152,1.0,A173,1.0,A192,A201
A11,12.0,A32,missing,1620.0,A61,A73,2.0,A92,missing,3.0,A122,30.0,A143,A152,1.0,A173,1.0,missing,A201
A12,36.0,A32,missing,9034.0,A62,missing,4.0,A93,missing,1.0,A124,29.0,A143,A151,1.0,A174,1.0,missing,A201
A12,18.0,A32,A40,6260.0,A62,A75,3.0,A93,A101,3.0,A121,28.0,A143,A151,1.0,A172,1.0,A191,A201
A12,15.0,A32,A41,2631.0,A62,A73,3.0,A92,A101,2.0,A121,25.0,A141,A152,1.0,A172,1.0,A191,A201
A14,12.0,A34,A43,2141.0,A62,A71,3.0,A93,A101,1.0,A124,35.0,A143,A152,1.0,A173,1.0,A191,A201
A11,12.0,A32,A40,652.0,A61,A75,4.0,A92,A101,4.0,A122,24.0,A143,A151,1.0,A173,1.0,A191,A201
A12,36.0,A32,A43,2671.0,A62,A73,4.0,A92,A103,4.0,A124,50.0,A143,A153,1.0,A173,1.0,A191,A201
A14,36.0,missing,missing,5742.0,missing,missing,2.0,A93,A101,2.0,A122,31.0,A143,A152,2.0,A173,1.0,missing,A201
A14,60.0,A34,missing,13756.0,missing,missing,2.0,A91,missing,4.0,A124,63.0,A141,A152,1.0,A174,1.0,missing,A201
A13,48.0,A34,A43,4844.0,A61,A73,3.0,A93,A101,2.0,A122,33.0,A141,A151,1.0,A173,1.0,A192,A201
A14,18.0,A33,missing,1943.0,A61,A73,4.0,A93,missing,4.0,missing,23.0,A142,A152,1.0,A174,1.0,missing,A201
A12,18.0,A33,A43,866.0,A64,A71,4.0,A92,A103,2.0,A121,25.0,A143,A152,1.0,A172,1.0,A191,A201
A12,18.0,A32,missing,1941.0,missing,A73,4.0,A93,missing,2.0,missing,35.0,A143,A152,1.0,A172,1.0,missing,A201
A14,24.0,missing,missing,5150.0,A61,missing,4.0,A91,A101,4.0,missing,33.0,A143,A152,1.0,A173,1.0,missing,A201
A12,24.0,A32,A43,4351.0,A64,A73,1.0,A92,A101,4.0,A122,48.0,A143,A152,1.0,A172,1.0,A192,A201
A13,24.0,A32,A40,947.0,A61,A75,4.0,A93,A101,3.0,A124,38.0,A141,A153,1.0,A173,2.0,A191,A201
A12,24.0,A32,A43,1967.0,A61,A73,4.0,A92,A101,4.0,A121,20.0,A143,A152,1.0,A173,1.0,A192,A201
A14,15.0,A32,missing,2186.0,A64,A73,1.0,A92,A101,4.0,missing,33.0,A141,A151,1.0,A174,1.0,missing,A201
A12,9.0,A33,A43,2118.0,A64,A73,2.0,A91,A103,2.0,A121,37.0,A143,A152,1.0,A172,2.0,A191,A201
A14,12.0,A33,A43,776.0,A61,A73,4.0,A92,A101,2.0,A121,28.0,A143,A152,1.0,A173,1.0,A191,A201
A14,15.0,A32,missing,3812.0,A62,missing,1.0,missing,A101,4.0,missing,23.0,A143,A152,1.0,A173,1.0,missing,missing
A11,39.0,A32,missing,14179.0,A64,missing,4.0,A92,A101,4.0,A121,30.0,A143,A152,2.0,A174,1.0,missing,A201
A12,9.0,A32,A41,1437.0,A61,A74,2.0,A91,A103,3.0,A124,29.0,A143,A152,1.0,A171,1.0,A191,A201
A12,15.0,A32,A43,1444.0,A65,A73,4.0,A93,A101,1.0,A122,23.0,A143,A152,1.0,A173,1.0,A191,A201
A13,18.0,A33,A43,1445.0,A61,A73,4.0,A91,A101,4.0,A123,49.0,A141,A152,1.0,A172,1.0,A191,A201
A14,18.0,A33,A43,2320.0,A61,A73,2.0,A91,A101,3.0,A121,34.0,A143,A151,2.0,A173,1.0,A191,A201
A14,30.0,A33,missing,4272.0,missing,missing,2.0,A93,A101,2.0,A122,26.0,A143,A152,2.0,A172,1.0,missing,missing
A14,15.0,A32,A43,4657.0,A62,A73,3.0,A93,A101,2.0,A121,30.0,A143,A152,1.0,A173,1.0,A192,A201
A13,36.0,A32,missing,10974.0,missing,missing,4.0,A91,A101,2.0,missing,26.0,A142,A152,2.0,A174,1.0,missing,A201
A14,48.0,A34,A40,3931.0,A64,A75,4.0,A92,A101,4.0,A122,46.0,A143,A152,1.0,A174,2.0,A191,A202
A12,9.0,A32,A43,654.0,A62,A73,4.0,A92,A101,3.0,A121,28.0,A143,A152,1.0,A171,1.0,A192,A201
A12,24.0,A33,A41,3758.0,A62,A71,1.0,A92,A101,4.0,A124,23.0,A143,A151,1.0,A172,1.0,A191,A201
A11,10.0,A34,A40,1309.0,A61,A75,4.0,A91,A103,4.0,A122,27.0,A143,A151,1.0,A172,1.0,A191,A201
A12,42.0,A33,A43,4370.0,A61,A73,3.0,A91,A101,2.0,A121,26.0,A143,A152,2.0,A173,2.0,A192,A201
A14,13.0,A32,A43,1409.0,A62,A71,2.0,A92,A101,4.0,A121,64.0,A143,A152,1.0,A173,1.0,A192,A201
A14,30.0,A34,A43,1867.0,A62,missing,4.0,A91,missing,4.0,missing,58.0,A143,A152,1.0,A173,1.0,missing,A201
A13,12.0,A32,A43,1107.0,A61,A73,2.0,A93,A101,2.0,A121,20.0,A143,A151,1.0,A174,2.0,A192,A201
A14,12.0,A32,A40,640.0,A61,A75,4.0,A91,A101,2.0,A122,49.0,A142,A152,1.0,A172,1.0,A191,A201
A14,24.0,missing,missing,1474.0,missing,missing,4.0,A91,A101,3.0,A121,33.0,missing,A152,1.0,A173,1.0,missing,A201
A14,12.0,A34,A43,976.0,A65,A74,4.0,A93,A101,4.0,A123,35.0,A142,A152,2.0,A173,1.0,A191,A201
A14,36.0,A34,A49,7980.0,A65,A74,4.0,A92,A101,4.0,A123,27.0,A143,A152,2.0,A174,1.0,A191,A201
A14,18.0,A34,A40,6761.0,A62,A73,2.0,A93,A103,4.0,A122,68.0,A141,A151,2.0,A174,1.0,A191,A201
A11,18.0,A32,missing,2278.0,A61,missing,3.0,missing,missing,3.0,missing,28.0,A142,A152,2.0,A173,1.0,missing,A201
A12,9.0,A34,A40,1154.0,A61,A75,2.0,A93,A101,4.0,A124,37.0,A143,A152,3.0,A172,1.0,A191,A201
A14,24.0,A34,A49,1927.0,A65,A73,3.0,A92,A101,2.0,A123,33.0,A143,A152,2.0,A173,1.0,A191,A201
A14,9.0,A34,A41,2301.0,A62,A73,2.0,A92,A101,4.0,A122,22.0,A143,A151,1.0,A173,1.0,A191,A201
A13,12.0,missing,missing,1412.0,A61,missing,4.0,A92,A101,2.0,A121,29.0,A142,A152,2.0,A174,1.0,missing,A201
A11,48.0,A34,A41,4605.0,A62,A73,3.0,A92,A101,4.0,A122,24.0,A143,A153,2.0,A172,2.0,A191,A202
